YEAR,MONTH,DAY,HOUR,O3
2018,01,01,00,84.9
2018,01,01,01,83.2
2018,01,01,02,77.9
2018,01,01,03,71.6
2018,01,01,04,61.5
2018,01,01,05,48.9
2018,01,01,06,60.5
2018,01,01,07,65.2
2018,01,01,08,64.5
2018,01,01,09,64.4
2018,01,01,10,68.8
2018,01,01,11,71.5
2018,01,01,12,65.3
2018,01,01,13,62.4
2018,01,01,14,56.7
2018,01,01,15,52.6
2018,01,01,16,47.0
2018,01,01,17,33.4
2018,01,01,18,45.9
2018,01,01,19,53.8
2018,01,01,20,47.7
2018,01,01,21,62.8
2018,01,01,22,56.9
2018,01,01,23,48.9
2018,01,02,00,56.4
2018,01,02,01,61.8
2018,01,02,02,63.1
2018,01,02,03,64.0
2018,01,02,04,64.6
2018,01,02,05,63.9
2018,01,02,06,70.8
2018,01,02,07,56.8
2018,01,02,08,46.4
2018,01,02,09,44.8
2018,01,02,10,46.0
2018,01,02,11,37.0
2018,01,02,12,37.2
2018,01,02,13,50.9
2018,01,02,14,39.9
2018,01,02,15,36.3
2018,01,02,16,28.4
2018,01,02,17,37.1
2018,01,02,18,47.4
2018,01,02,19,48.0
2018,01,02,20,36.4
2018,01,02,21,36.6
2018,01,02,22,41.1
2018,01,02,23,45.0
2018,01,03,00,51.2
2018,01,03,01,51.5
2018,01,03,02,56.9
2018,01,03,03,68.1
2018,01,03,04,54.8
2018,01,03,05,65.5
2018,01,03,06,78.4
2018,01,03,07,75.9
2018,01,03,08,78.0
2018,01,03,09,75.6
2018,01,03,10,78.2
2018,01,03,11,73.3
2018,01,03,12,73.0
2018,01,03,13,72.8
2018,01,03,14,68.9
2018,01,03,15,70.3
2018,01,03,16,67.6
2018,01,03,17,66.3
2018,01,03,18,67.7
2018,01,03,19,57.8
2018,01,03,20,68.9
2018,01,03,21,50.2
2018,01,03,22,29.6
2018,01,03,23,37.0
2018,01,04,00,37.3
2018,01,04,01,36.2
2018,01,04,02,45.8
2018,01,04,03,42.7
2018,01,04,04,36.9
2018,01,04,05,30.5
2018,01,04,06,27.8
2018,01,04,07,27.3
2018,01,04,08,35.7
2018,01,04,09,45.2
2018,01,04,10,38.4
2018,01,04,11,52.0
2018,01,04,12,33.2
2018,01,04,13,17.2
2018,01,04,14,26.0
2018,01,04,15,33.8
2018,01,04,16,55.4
2018,01,04,17,56.3
2018,01,04,18,51.8
2018,01,04,19,48.3
2018,01,04,20,65.8
2018,01,04,21,68.0
2018,01,04,22,49.7
2018,01,04,23,52.5
2018,01,05,00,54.1
2018,01,05,01,43.8
2018,01,05,02,48.0
2018,01,05,03,68.2
2018,01,05,04,54.5
2018,01,05,05,30.6
2018,01,05,06,39.8
2018,01,05,07,52.3
2018,01,05,08,27.2
2018,01,05,09,22.0
2018,01,05,10,31.7
2018,01,05,11,57.4
2018,01,05,12,54.9
2018,01,05,13,55.2
2018,01,05,14,59.7
2018,01,05,15,47.0
2018,01,05,16,59.4
2018,01,05,17,62.7
2018,01,05,18,64.5
2018,01,05,19,57.7
2018,01,05,20,49.7
2018,01,05,21,46.2
2018,01,05,22,50.9
2018,01,05,23,50.3
2018,01,06,00,41.7
2018,01,06,01,30.8
2018,01,06,02,37.9
2018,01,06,03,52.4
2018,01,06,04,35.8
2018,01,06,05,42.4
2018,01,06,06,31.9
2018,01,06,07,13.2
2018,01,06,08,8.9
2018,01,06,09,-0.1
2018,01,06,10,0.2
2018,01,06,11,-0.5
2018,01,06,12,-0.3
2018,01,06,13,18.6
2018,01,06,14,23.1
2018,01,06,15,50.7
2018,01,06,16,50.6
2018,01,06,17,54.6
2018,01,06,18,38.3
2018,01,06,19,29.7
2018,01,06,20,27.8
2018,01,06,21,25.1
2018,01,06,22,21.1
2018,01,06,23,23.1
2018,01,07,00,18.9
2018,01,07,01,19.8
2018,01,07,02,19.0
2018,01,07,03,24.5
2018,01,07,04,27.2
2018,01,07,05,29.9
2018,01,07,06,22.0
2018,01,07,07,21.1
2018,01,07,08,24.9
2018,01,07,09,36.2
2018,01,07,10,42.8
2018,01,07,11,44.9
2018,01,07,12,47.6
2018,01,07,13,46.2
2018,01,07,14,44.3
2018,01,07,15,42.0
2018,01,07,16,39.7
2018,01,07,17,33.9
2018,01,07,18,36.6
2018,01,07,19,35.5
2018,01,07,20,32.2
2018,01,07,21,36.5
2018,01,07,22,37.7
2018,01,07,23,38.8
2018,01,08,00,38.9
2018,01,08,01,40.1
2018,01,08,02,40.0
2018,01,08,03,36.1
2018,01,08,04,35.3
2018,01,08,05,30.5
2018,01,08,06,23.8
2018,01,08,07,16.0
2018,01,08,08,8.2
2018,01,08,09,10.9
2018,01,08,10,14.8
2018,01,08,11,17.9
2018,01,08,12,24.1
2018,01,08,13,24.8
2018,01,08,14,20.6
2018,01,08,15,17.4
2018,01,08,16,12.4
2018,01,08,17,7.0
2018,01,08,18,3.1
2018,01,08,19,-0.3
2018,01,08,20,1.1
2018,01,08,21,2.4
2018,01,08,22,12.9
2018,01,08,23,16.7
2018,01,09,00,12.0
2018,01,09,01,16.3
2018,01,09,02,16.1
2018,01,09,03,14.0
2018,01,09,04,12.3
2018,01,09,05,11.8
2018,01,09,06,6.3
2018,01,09,07,1.3
2018,01,09,08,0.4
2018,01,09,09,1.1
2018,01,09,10,2.2
2018,01,09,11,3.7
2018,01,09,12,2.8
2018,01,09,13,1.5
2018,01,09,14,1.3
2018,01,09,15,0.9
2018,01,09,16,0.4
2018,01,09,17,0.6
2018,01,09,18,0.6
2018,01,09,19,0.5
2018,01,09,20,0.9
2018,01,09,21,0.2
2018,01,09,22,-0.3
2018,01,09,23,0.8
2018,01,10,00,0.1
2018,01,10,01,0.4
2018,01,10,02,0.7
2018,01,10,03,4.1
2018,01,10,04,7.1
2018,01,10,05,8.0
2018,01,10,06,11.3
