YEAR,MONTH,DAY,HOUR,NO2
2018,01,01,00,7.3
2018,01,01,01,9.4
2018,01,01,02,10.3
2018,01,01,03,14.9
2018,01,01,04,21.8
2018,01,01,05,33.2
2018,01,01,06,20.1
2018,01,01,07,13.9
2018,01,01,08,17.8
2018,01,01,09,11.5
2018,01,01,10,9.7
2018,01,01,11,8.0
2018,01,01,12,11.1
2018,01,01,13,12.2
2018,01,01,14,15.5
2018,01,01,15,17.2
2018,01,01,16,24.4
2018,01,01,17,38.0
2018,01,01,18,34.0
2018,01,01,19,31.5
2018,01,01,20,36.3
2018,01,01,21,24.3
2018,01,01,22,20.4
2018,01,01,23,25.2
2018,01,02,00,18.0
2018,01,02,01,9.9
2018,01,02,02,6.7
2018,01,02,03,5.7
2018,01,02,04,6.7
2018,01,02,05,9.4
2018,01,02,06,5.9
2018,01,02,07,23.7
2018,01,02,08,26.2
2018,01,02,09,29.4
2018,01,02,10,26.4
2018,01,02,11,40.3
2018,01,02,12,39.3
2018,01,02,13,24.4
2018,01,02,14,28.5
2018,01,02,15,32.3
2018,01,02,16,41.8
2018,01,02,17,34.0
2018,01,02,18,26.9
2018,01,02,19,25.2
2018,01,02,20,27.7
2018,01,02,21,36.5
2018,01,02,22,26.0
2018,01,02,23,22.0
2018,01,03,00,20.6
2018,01,03,01,16.4
2018,01,03,02,9.9
2018,01,03,03,11.7
2018,01,03,04,26.5
2018,01,03,05,17.4
2018,01,03,06,13.4
2018,01,03,07,16.2
2018,01,03,08,12.6
2018,01,03,09,12.0
2018,01,03,10,7.3
2018,01,03,11,12.8
2018,01,03,12,10.3
2018,01,03,13,10.1
2018,01,03,14,13.4
2018,01,03,15,11.8
2018,01,03,16,13.8
2018,01,03,17,16.2
2018,01,03,18,13.2
2018,01,03,19,24.1
2018,01,03,20,10.5
2018,01,03,21,29.0
2018,01,03,22,45.5
2018,01,03,23,45.1
2018,01,04,00,43.5
2018,01,04,01,44.3
2018,01,04,02,38.0
2018,01,04,03,35.0
2018,01,04,04,45.6
2018,01,04,05,47.9
2018,01,04,06,51.2
2018,01,04,07,52.3
2018,01,04,08,43.5
2018,01,04,09,35.5
2018,01,04,10,44.5
2018,01,04,11,37.6
2018,01,04,12,45.5
2018,01,04,13,48.1
2018,01,04,14,34.6
2018,01,04,15,38.6
2018,01,04,16,27.3
2018,01,04,17,25.8
2018,01,04,18,34.4
2018,01,04,19,34.4
2018,01,04,20,17.4
2018,01,04,21,19.1
2018,01,04,22,32.3
2018,01,04,23,27.5
2018,01,05,00,32.3
2018,01,05,01,38.8
2018,01,05,02,35.7
2018,01,05,03,22.3
2018,01,05,04,30.8
2018,01,05,05,58.3
2018,01,05,06,49.9
2018,01,05,07,32.9
2018,01,05,08,52.7
2018,01,05,09,63.0
2018,01,05,10,52.5
2018,01,05,11,21.0
2018,01,05,12,25.0
2018,01,05,13,24.6
2018,01,05,14,28.1
2018,01,05,15,42.4
2018,01,05,16,28.5
2018,01,05,17,20.2
2018,01,05,18,16.0
2018,01,05,19,24.8
2018,01,05,20,34.6
2018,01,05,21,34.4
2018,01,05,22,31.1
2018,01,05,23,27.9
2018,01,06,00,37.2
2018,01,06,01,45.6
2018,01,06,02,47.6
2018,01,06,03,16.8
2018,01,06,04,34.4
2018,01,06,05,24.3
2018,01,06,06,27.7
2018,01,06,07,43.2
2018,01,06,08,49.7
2018,01,06,09,67.6
2018,01,06,10,59.6
2018,01,06,11,73.0
2018,01,06,12,64.7
2018,01,06,13,38.8
2018,01,06,14,43.7
2018,01,06,15,22.2
2018,01,06,16,23.9
2018,01,06,17,20.1
2018,01,06,18,19.1
2018,01,06,19,20.2
2018,01,06,20,21.0
2018,01,06,21,20.6
2018,01,06,22,25.2
2018,01,06,23,20.4
