YEAR,MONTH,DAY,HOUR,PM25
2018,01,01,00,10.1
2018,01,01,01,10.0
2018,01,01,02,8.9
2018,01,01,03,0.9
2018,01,01,04,3.4
2018,01,01,05,8.3
2018,01,01,06,10.3
2018,01,01,07,8.2
2018,01,01,08,4.6
2018,01,01,09,6.7
2018,01,01,10,4.5
2018,01,01,11,0.6
2018,01,01,12,3.9
2018,01,01,13,4.8
2018,01,01,14,3.6
2018,01,01,15,5.0
2018,01,01,16,7.1
2018,01,01,17,8.0
2018,01,01,18,3.4
2018,01,01,19,-0.1
2018,01,01,20,1.5
2018,01,01,21,3.6
2018,01,01,22,4.8
2018,01,01,23,6.4
2018,01,02,00,7.1
2018,01,02,01,2.3
2018,01,02,02,2.0
2018,01,02,03,5.0
2018,01,02,04,7.1
2018,01,02,05,6.3
2018,01,02,06,3.4
2018,01,02,07,7.7
2018,01,02,08,8.1
2018,01,02,09,7.9
2018,01,02,10,6.9
2018,01,02,11,7.5
2018,01,02,12,10.1
2018,01,02,13,7.2
2018,01,02,14,5.1
2018,01,02,15,8.1
2018,01,02,16,9.7
2018,01,02,17,7.0
2018,01,02,18,4.6
2018,01,02,19,4.7
2018,01,02,20,5.1
2018,01,02,21,3.2
2018,01,02,22,4.4
2018,01,02,23,8.9
2018,01,03,00,9.3
2018,01,03,01,8.7
2018,01,03,02,3.5
2018,01,03,03,2.4
2018,01,03,04,6.5
2018,01,03,05,4.9
2018,01,03,06,5.3
2018,01,03,07,7.5
2018,01,03,08,10.1
2018,01,03,09,8.2
2018,01,03,10,17.9
2018,01,03,11,8.7
2018,01,03,12,7.8
2018,01,03,13,6.5
2018,01,03,14,22.5
2018,01,03,15,9.1
2018,01,03,16,9.8
2018,01,03,17,11.3
2018,01,03,18,10.4
2018,01,03,19,9.6
2018,01,03,20,12.9
2018,01,03,21,16.1
2018,01,03,22,15.0
2018,01,03,23,15.1
2018,01,04,00,14.9
2018,01,04,01,15.0
2018,01,04,02,14.2
2018,01,04,03,16.3
2018,01,04,04,11.8
2018,01,04,05,21.0
2018,01,04,06,14.9
2018,01,04,07,13.9
2018,01,04,08,13.4
2018,01,04,09,13.7
2018,01,04,10,13.2
2018,01,04,11,8.9
2018,01,04,12,6.3
2018,01,04,13,5.8
2018,01,04,14,6.3
2018,01,04,15,7.8
2018,01,04,16,8.7
2018,01,04,17,21.7
2018,01,04,18,19.8
2018,01,04,19,9.1
2018,01,04,20,8.6
2018,01,04,21,8.9
2018,01,04,22,7.8
2018,01,04,23,5.9
2018,01,05,00,7.9
2018,01,05,01,8.2
2018,01,05,02,5.5
2018,01,05,03,5.4
2018,01,05,04,2.0
2018,01,05,05,1.4
2018,01,05,06,5.1
2018,01,05,07,4.5
2018,01,05,08,2.0
2018,01,05,09,2.5
2018,01,05,10,2.1
2018,01,05,11,1.8
2018,01,05,12,6.6
2018,01,05,13,7.6
2018,01,05,14,10.1
2018,01,05,15,6.5
2018,01,05,16,0.5
2018,01,05,17,2.5
2018,01,05,18,4.1
2018,01,05,19,7.8
2018,01,05,20,8.3
2018,01,05,21,6.0
2018,01,05,22,6.7
2018,01,05,23,5.8
2018,01,06,00,6.7
2018,01,06,01,7.5
2018,01,06,02,5.9
2018,01,06,03,4.8
2018,01,06,04,4.3
2018,01,06,05,5.4
2018,01,06,06,4.5
2018,01,06,07,2.8
2018,01,06,08,6.3
2018,01,06,09,11.3
2018,01,06,10,12.9
2018,01,06,11,25.1
2018,01,06,12,20.6
2018,01,06,13,2.8
2018,01,06,14,5.0
2018,01,06,15,5.5
2018,01,06,16,5.0
2018,01,06,17,4.4
2018,01,06,18,1.7
2018,01,06,19,2.8
2018,01,06,20,5.5
2018,01,06,21,6.8
2018,01,06,22,5.4
2018,01,06,23,-0.6
2018,01,07,00,-0.1
2018,01,07,01,3.3
2018,01,07,02,5.8
2018,01,07,03,7.5
2018,01,07,04,6.1
2018,01,07,05,8.1
2018,01,07,06,9.9
2018,01,07,07,10.4
2018,01,07,08,10.8
2018,01,07,09,8.6
2018,01,07,10,4.0
2018,01,07,11,2.5
2018,01,07,12,2.6
2018,01,07,13,3.7
2018,01,07,14,7.0
2018,01,07,15,6.8
2018,01,07,16,6.5
2018,01,07,17,6.4
2018,01,07,18,5.0
2018,01,07,19,4.9
2018,01,07,20,6.2
2018,01,07,21,7.1
2018,01,07,22,6.5
2018,01,07,23,7.5
2018,01,08,00,9.9
2018,01,08,01,7.5
2018,01,08,02,6.7
2018,01,08,03,8.7
2018,01,08,04,7.4
2018,01,08,05,7.2
2018,01,08,06,6.8
2018,01,08,07,8.9
2018,01,08,08,12.4
2018,01,08,09,11.3
2018,01,08,10,12.3
2018,01,08,11,13.0
2018,01,08,12,12.2
2018,01,08,13,13.7
2018,01,08,14,11.6
2018,01,08,15,10.9
2018,01,08,16,11.9
2018,01,08,17,13.0
2018,01,08,18,13.8
